68.926,0.0015703,0.0013465,0.0005122,0.00040007
72.208,0.0013719,0.0011723,0.0004386,0.00034274
75.646,0.0011984,0.0010203,0.00037512,0.00029328
79.248,0.0010469,0.00088805,0.00032083,0.00025096
83.022,0.00091446,0.00077292,0.0002744,0.00021475
86.975,0.00079882,0.00067271,0.00023469,0.00018376
91.116,0.0006977,0.00058529,0.00020053,0.00015709
95.455,0.0006093,0.00050904,0.00017115,0.00013414
100.0,0.0005321,0.00044272,0.00014608,0.00011455
1.0,219.85,212.88,134.27,95.958
1.0476,194.36,188.47,119.14,85.163
1.0975,171.83,166.87,105.72,75.582
1.1498,151.86,147.62,93.711,67.026
1.2045,134.17,130.51,82.985,59.394
1.2619,118.54,115.37,73.487,52.632
1.3219,104.73,101.99,65.076,46.639
1.3849,92.53,90.165,57.628,41.329
1.4508,81.675,79.66,50.978,36.594
1.5199,72.043,70.346,45.061,32.382
1.5923,63.547,62.122,39.83,28.655
1.6681,56.052,54.858,35.207,25.357
1.7475,49.441,48.444,31.12,22.439
1.8307,43.655,42.78,27.476,19.839
1.9179,38.57,37.778,24.243,17.531
2.0092,34.078,33.361,21.39,15.492
2.1049,30.108,29.46,18.873,13.69
2.2051,26.601,26.015,16.652,12.098
2.3101,23.473,22.949,14.675,10.68
2.4201,20.7,20.233,12.926,9.4243
2.5354,18.255,17.839,11.385,8.3161
2.6561,16.098,15.728,10.028,7.3382
2.7826,14.197,13.867,8.8328,6.4752
2.9151,12.489,12.207,7.7703,5.7074
3.0539,10.976,10.739,6.8325,5.0285
3.1993,9.6466,9.4473,6.0078,4.4302
3.3516,8.478,8.3112,5.2826,3.9032
3.5112,7.4509,7.3116,4.645,3.4387
3.6784,6.5567,6.4311,4.0786,3.0256
3.8535,5.7719,5.6563,3.5799,2.661
4.037,5.081,4.9749,3.1421,2.3403
4.2292,4.4728,4.3755,2.7579,2.0583
4.4306,3.9373,3.8483,2.4206,1.8102
4.6416,3.4629,3.381,2.1213,1.5896
4.8626,3.0449,2.9698,1.8583,1.3954
5.0941,2.6774,2.6086,1.628,1.2249
5.3367,2.3543,2.2913,1.4262,1.0752
5.5908,2.0701,2.0126,1.2494,0.9438
5.857,1.8187,1.7659,1.0928,0.82705
6.1359,1.5976,1.5492,0.95553,0.72455
6.4281,1.4033,1.3591,0.83553,0.63475
6.7342,1.2327,1.1923,0.7306,0.55607
7.0548,1.0828,1.046,0.63884,0.48714
7.3907,0.95034,0.91657,0.55762,0.42591
7.7426,0.83404,0.80312,0.48666,0.37231
8.1113,0.73197,0.70371,0.42473,0.32545
